,ID,SITECODE,REGION,MIN_LOAD,MAX_LOAD,TOTAL_LOAD
2,3,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.088,10.743,30627.244
3,4,Residential - Single/Duplex (Elec Heat),VI,0.0,8.423,34223.207
6,7,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.09,5.008,13203.478
11,12,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,2.989,6400.184
12,13,Residential - Single/Duplex (Elec Heat),VI,0.0,8.17,17681.676
15,16,Residential - Row Houses Units (Elec Heat),LM,0.091,5.927,9244.747
16,17,Residential - Single/Duplex (Elec Heat),VI,0.0,7.893,33697.293
20,21,Residential - Single/Duplex (Elec Heat),VI,0.0,8.85,25990.586
21,22,Residential - High-Rise Apt Suites (Elec Heat),LM,0.041,9.004,20386.207
22,23,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.074,5.43,10321.386
27,28,Residential - Single/Duplex (Elec Heat),VI,0.0,9.659,22874.053
28,29,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,1.959,2595.848
34,35,Residential - Single/Duplex (Elec Heat),N,0.0,13.088,39219.336
35,36,Residential - Single/Duplex (Elec Heat),VI,0.0,12.192,33235.31
38,39,Residential - Single/Duplex (Elec Heat),SI,0.0,9.973,34723.52
42,43,Residential - High-Rise Apt Suites (Elec Heat),SI,0.0,8.724,13319.202
47,48,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.223,5862.486
50,51,Residential - Row Houses Units (Elec Heat),LM,0.0,6.555,12162.481
54,55,Residential - Low-Rise Apt Suites (Elec Heat),N,0.0,2.837,9994.092
56,57,Residential - Row Houses Units (Elec Heat),SI,0.0,13.683,22294.72
58,59,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.088,3.121,8979.676
59,60,Residential - Row Houses Units (Elec Heat),N,0.0,5.558,12555.365
60,61,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.896,6838.887
64,65,Residential - Single/Duplex (Elec Heat),VI,0.0,3.13,5667.4478
65,66,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,4.064,15709.1875
66,67,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.061,5.181,9254.376
76,77,Residential - Single/Duplex (Elec Heat),VI,0.0,9.781,17384.207
80,81,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,8.404,9342.666
81,82,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.061,6.171,16652.96
83,84,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.872,10913.378
84,85,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.937,7701.25
90,91,Residential - High-Rise Apt Suites (Elec Heat),LM,0.048,5.154,5045.0654
91,92,Residential - High-Rise Apt Suites (Elec Heat),LM,0.012,8.592,35417.11
92,93,Residential - Row Houses Units (Elec Heat),LM,0.0,6.287,10573.037
93,94,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.507,20425.771
95,96,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.072,4.552,6039.723
100,101,Residential - Single/Duplex (Elec Heat),LM,0.0,9.323,32289.51
103,104,Residential - Single/Duplex (Elec Heat),VI,0.0,10.402,26371.422
104,105,Residential - Row Houses Units (Elec Heat),LM,0.034,6.96,15623.898
109,110,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.026,3.387,6134.4854
111,112,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,8.252,20558.092
113,114,Residential - Mobile (Elec Heat),SI,0.0,7.656,21347.738
114,115,Residential - High-Rise Apt Suites (Elec Heat),LM,0.017,3.027,3579.321
117,118,Residential - High-Rise Apt Suites (Elec Heat),LM,0.031,4.803,6713.962
123,124,Residential - Single/Duplex (Elec Heat),LM,0.0,11.277,36241.68
125,126,Residential - Single/Duplex (Elec Heat),SI,0.0,9.417,34453.41
128,129,Residential - Single/Duplex (Elec Heat),LM,0.138,9.205,30325.996
130,131,Residential - Row Houses Units (Elec Heat),LM,0.041,12.432,19680.822
133,134,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,5.653,9502.368
137,138,Residential - Single/Duplex (Elec Heat),LM,0.0,12.853,35781.93
141,142,Residential - Single/Duplex (Elec Heat),N,0.0,7.021,25286.363
146,147,Residential - Single/Duplex (Elec Heat),LM,0.0,4.051,7969.7515
147,148,Residential - Row Houses Units (Elec Heat),LM,0.0,8.254,20757.67
148,149,Residential - Single/Duplex (Elec Heat),VI,0.0,13.664,31986.203
152,153,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,3.35,4144.089
154,155,Residential - Single/Duplex (Elec Heat),VI,0.0,11.633,45827.793
159,160,Residential - Single/Duplex (Elec Heat),VI,0.0,12.957,36242.742
